Title,Duration (Seconds)
"Make a Basic Top Down Character // E01 // Make a 2D Action & Adventure RPG in Godot 4","1546"
"Player Idle & Walk Animations // E02 // Make a 2D Action & Adventure RPG in Godot 4","1857"
"Player State Machine // E03 // Make a 2D Action & Adventure RPG in Godot 4","1902"
"Tilemaps & Tilesets // E04 // Make a 2D Action & Adventure RPG in Godot 4","1592"
"Create a Player Attack State // E05 // Make a 2D Action & Adventure RPG in Godot 4","2078"
"Hit & Hurt Boxes // E06 // Make a 2D Action & Adventure RPG in Godot 4","2146"
"Addressing Issues // E07 // Make a 2D Action & Adventure RPG in Godot 4","1310"
"Auto Camera Limits // E08 // Make a 2D Action & Adventure RPG in Godot 4","1386"
"Make a Slime Enemy (part I) // E09 // Make a 2D Action & Adventure RPG in Godot 4","2872"
"Make a Slime Enemy (part II) // E10 // Make a 2D Action & Adventure RPG in Godot 4","2089"
"Player Stun State // E11 // Make a 2D Action & Adventure RPG in Godot 4","2424"
"Player HUD // E12 // Make a 2D Action & Adventure RPG in Godot 4","1789"
"Player Spawner // E13 // Make a 2D Action & Adventure RPG in Godot 4","1224"
"Scene Manager // E14 // Make a 2D Action & Adventure RPG in Godot 4","3298"
"Basic Save & Load // E15 // Make a 2D Action & Adventure RPG in Godot 4","2868"
"Resource Based Inventory System (part I) // E16 // Make a 2D Action & Adventure RPG in Godot 4","2610"
"Pickup & Use Items - Inventory (part II) // E17 // Make a 2D Action & Adventure RPG in Godot 4","3213"
"Save & Load Items - Inventory (part III) // E18 // Make a 2D Action & Adventure RPG in Godot 4","1072"
"Enemy Item Drops // E19 // Make a 2D Action & Adventure RPG in Godot 4","1708"
"Treasure Chest // E20 // Make a 2D Action & Adventure RPG in Godot 4","2175"
"Persistent Data // E21 // Make a 2D Action & Adventure RPG in Godot 4","1426"
"Enemy with Chase State // E22 // Make a 2D Action & Adventure RPG in Godot 4","1951"
"Dungeon Puzzles 01 // E23 // Make a 2D Action & Adventure RPG in Godot 4","3354"
"Dungeon Puzzles 02 // E24 // Make a 2D Action & Adventure RPG in Godot 4","3780"
"Boomerang! // E25 // Make a 2D Action & Adventure RPG in Godot 4","1988"
"Boomerang++ // E26 // Make a 2D Action & Adventure RPG in Godot 4","704"
"Item Magnet // E27 // Make a 2D Action & Adventure RPG in Godot 4","1558"
"Music & Audio Manager // E28 // Make a 2D Action & Adventure RPG in Godot 4","2230"
"NPC Part I // E29 // Make a 2D Action & Adventure RPG in Godot 4","3382"
"NPC Part II Patrol Behavior // E30 // Make a 2D Action & Adventure RPG in Godot 4","3050"
"BUG FIX! NPC Part II Patrol Behavior // E30","185"
"NPC Part III Dialog System UI // E31 // Make a 2D Action & Adventure RPG in Godot 4","2176"
"NPC Part IV Dialog Interaction // E32 // Make a 2D Action & Adventure RPG in Godot 4","2951"
"Duplicating Inventory Bug Fix! // E32.5-ish // Make a 2D Action & Adventure RPG in Godot 4","323"
"NPC Part V - Dialog ""Game Juice"" // E33 // Make a 2D Action & Adventure RPG in Godot 4","3612"
"NPC Part VI Cleanup and Bug Fixes // E34 // Make a 2D Action & Adventure RPG in Godot 4","1454"
"NPC Part VII Branching Dialog // E35 // Make a 2D Action & Adventure RPG in Godot 4","2990"
"NPC Part VIII Dialog Editor Interaction // E36 // Make a 2D Action & Adventure RPG in Godot 4","2356"
"Splash & Title Screen // E37 // Make a 2D Action & Adventure RPG in Godot 4","2031"
"Charge & Spin Attack // E38 // Make a 2D Action & Adventure RPG in Godot 4","4024"
"Throwable Objects Part I // E39.1 // Make a 2D Action & Adventure RPG in Godot 4","2997"
"Throwable Objects Part II // E39.2 // Make a 2D Action & Adventure RPG in Godot 4","4738"
"Game Over // E40 // Make a 2D Action & Adventure RPG in Godot 4","3031"
"Camera Shake // E41 // Make a 2D Action & Adventure RPG in Godot 4","1336"
"Lighting & Torches // E42 // Make a 2D Action & Adventure RPG in Godot 4","1079"
"Critical Dialog System Bug Fixes! // E36.5 // Make a 2D Action & Adventure RPG in Godot 4","570"
"Boss Energy Orb Attack // E43 // Make a 2D Action & Adventure RPG in Godot 4","1445"
"Boss Energy Beam Attack // E44 // Make a 2D Action & Adventure RPG in Godot 4","1698"
"Boss Battle // E45 // Make a 2D Action & Adventure RPG in Godot 4","8753"
"Boss HP GUI // E46 // Make a 2D Action & Adventure RPG in Godot 4","1990"
"Advanced Enemy Movement & Pathfinding // E47 // Make a 2D Action & Adventure RPG in Godot 4","4111"
"Update TileMap nodes to TileMapLayer nodes // E48 // Make a 2D Action & Adventure RPG in Godot 4","1019"
"NPC Wander Bug Fix & Quest System Sneak Peek // E49 // Make a 2D Action & Adventure RPG in Godot 4","843"
"Quest System Part 1 - Quest Manager // E50 // Make a 2D Action & Adventure RPG in Godot 4","4746"
"Quest System Part 2 - Quest UI // E51 // Make a 2D Action & Adventure RPG in Godot 4","4756"
"Quest System Part 3 - Quest Advance Trigger // E52 // Make a 2D Action & Adventure RPG in Godot 4","2584"
"Quest System Part 4 - Quest Activated Switch // E53 // Make a 2D Action & Adventure RPG in Godot 4","2563"
"Quest System Part 5 - Notification GUI // E54 // Make a 2D Action & Adventure RPG in Godot 4","2474"
"Quest System Part 6 - Make a Quest! // E55 // Make a 2D Action & Adventure RPG in Godot 4","5302"
"Basic Player Stats & Leveling // E56 // Make a 2D Action & Adventure RPG in Godot 4","3337"
"Level Up Polish // E57 // Make a 2D Action & Adventure RPG in Godot 4","1894"
"Damage Number Effect // E58 // Make a 2D Action & Adventure RPG in Godot 4","1762"
"Making Art for the AARPG Series /// Pixel Art & Chill Live Stream","9050"
"Equipment System Part 1 - Equipment Resources // E59 // Make a 2D Action & Adventure RPG in Godot 4","1281"
"Equipment System Part 2 - Inventory UI Updates // E60 // Make a 2D Action & Adventure RPG in Godot 4","3044"
"Equipment System Part 3 - Equip & Stat changes // E61 // Make a 2D Action & Adventure RPG in Godot 4","3210"
"Making Art for the AARPG Series /// Pixel & Chill Live Stream","8381"
"Equipment System Part 4 - Sprite Swap // E62 // Make a 2D Action & Adventure RPG in Godot 4","1185"
"Advanced Tileset Layer Settings // E63 // Make a 2D Action & Adventure RPG in Godot 4","1068"
"Custom Footstep Audio using TileSets & Custom Data Layers //// Make a 2D AARPG in Godot 4 // E64","2484"
"Godot 4.4 Update, & New Level Transition Type //// Make a 2D AARPG in Godot 4 // E65","1455"
"Godot 4.4 Drag & Drop Inventory Items //// Make a 2D AARPG in Godot 4 // E66","2562"
"Shop UI //// Make a 2D AARPG in Godot 4 // E67","2455"
"Shopkeeper NPC //// Make a 2D AARPG in Godot 4 // E68","2275"
"Shop Functionality //// Make a 2D AARPG in Godot 4 // E69","2360"
"Dash Ability & Trailing Effect //// Make a 2D AARPG in Godot 4 // E70","2109"
"Player Ability Dev Live Stream //// Make a 2D AARPG in Godot 4 // E71","8891"
"Abilities / Inventory UI // E72 /// Make a 2D AARPG in Godot 4","1260"
"Abilities / HUD Display // E73 /// Make a 2D AARPG in Godot 4","2034"
"Bomb Part 1 / Bomb Scene // E74 /// Make a 2D AARPG in Godot 4","1478"
"Bomb Part 2 / Bomb Script // E75 /// Make a 2D AARPG in Godot 4","3301"
"Bomb Part 3 / Bomb Ability // E76 /// Make a 2D AARPG in Godot 4","1298"
"Bow & Arrow Ability // E77 /// Make a 2D AARPG in Godot 4","1721"
"Arrow & Bomb Item Pickups // E78 /// Make a 2D AARPG in Godot 4","1368"
"Grapple Hook Part 1/2 // E79 /// Make a 2D AARPG in Godot 4","1408"
"Grapple Hook Part 2/2 // E80 /// Make a 2D AARPG in Godot 4","4251"
"Ability UI Update // E81 /// Make a 2D AARPG in Godot 4","1305"
"Ability Save/Load Integration // E82 /// Make a 2D AARPG in Godot 4","982"
"Acquire Abilities // E83 /// Make a 2D AARPG in Godot 4","1365"
"Ability System - Fix Bugs & Defects // E84 /// Make a 2D AARPG in Godot 4","605"
"Dialog Cutscenes - 01 // E85 /// Make a 2D AARPG in Godot 4","2729"
"Dialog Cutscenes - 02 - Move Action // E86 /// Make a 2D AARPG in Godot 4","2774"
"Dialog Cutscenes - 03 - Camera Action // E87 /// Make a 2D AARPG in Godot 4","1626"
"Dialog Cutscenes - 04 - Player Movement // E88 /// Make a 2D AARPG in Godot 4","2389"
"Dialog Cutscenes - 05 - Area Triggers, Music & Polish // E89 /// Make a 2D AARPG in Godot 4","2138"
